Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
3094947   5   1.35 iperf3 -s
3094947   6   5.48 iperf3 -s
3094947  18   0.41 iperf3 -s
3094947  19   4.58 iperf3 -s
3094947  24   0.01 iperf3 -s
3094947  25   8.84 iperf3 -s
3094947  26   0.70 iperf3 -s
3094947  27   0.01 iperf3 -s
3094947  39   5.57 iperf3 -s
3094947 sum  26.95 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4  19.38 iperf3 -s
3094947   5   2.76 iperf3 -s
3094947   6   0.31 iperf3 -s
3094947   7   1.02 iperf3 -s
3094947  18   0.07 iperf3 -s
3094947  19   1.52 iperf3 -s
3094947  25   0.96 iperf3 -s
3094947  26   0.01 iperf3 -s
3094947  27   0.61 iperf3 -s
3094947  38   0.22 iperf3 -s
3094947 sum  26.86 iperf3 -s
   PID CPU    PCT CMDLINE
3094947  19   3.96 iperf3 -s
3094947  25   0.95 iperf3 -s
3094947  26   0.28 iperf3 -s
3094947  27   0.63 iperf3 -s
3094947  38  20.79 iperf3 -s
3094947  39   0.54 iperf3 -s
3094947 sum  27.15 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   6.29 iperf3 -s
3094947   6   2.30 iperf3 -s
3094947   7   0.13 iperf3 -s
3094947  18   0.72 iperf3 -s
3094947  19   8.58 iperf3 -s
3094947  24   0.06 iperf3 -s
3094947  25   0.27 iperf3 -s
3094947  26   1.68 iperf3 -s
3094947  27   0.49 iperf3 -s
3094947  38   2.04 iperf3 -s
3094947  39   4.41 iperf3 -s
3094947 sum  26.97 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   3.71 iperf3 -s
3094947   5   0.61 iperf3 -s
3094947   6   2.72 iperf3 -s
3094947   7   0.33 iperf3 -s
3094947  18   0.61 iperf3 -s
3094947  19   0.09 iperf3 -s
3094947  24   3.85 iperf3 -s
3094947  26   2.09 iperf3 -s
3094947  27   1.96 iperf3 -s
3094947  38   7.33 iperf3 -s
3094947  39   3.78 iperf3 -s
3094947 sum  27.08 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   2.68 iperf3 -s
3094947   5   0.37 iperf3 -s
3094947   6   0.03 iperf3 -s
3094947   7   1.03 iperf3 -s
3094947  18   0.18 iperf3 -s
3094947  19   0.63 iperf3 -s
3094947  24   7.84 iperf3 -s
3094947  25   1.99 iperf3 -s
3094947  27   4.88 iperf3 -s
3094947  38   0.23 iperf3 -s
3094947  39   7.33 iperf3 -s
3094947 sum  27.19 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   5   0.06 iperf3 -s
3094947   6   1.75 iperf3 -s
3094947   7   0.09 iperf3 -s
3094947  18   2.74 iperf3 -s
3094947  24   0.24 iperf3 -s
3094947  25   0.72 iperf3 -s
3094947  26   2.07 iperf3 -s
3094947  27   7.10 iperf3 -s
3094947  39  12.80 iperf3 -s
3094947 sum  27.57 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.83 iperf3 -s
3094947   5   0.96 iperf3 -s
3094947   6   5.72 iperf3 -s
3094947   7   1.54 iperf3 -s
3094947  18   1.07 iperf3 -s
3094947  19   0.60 iperf3 -s
3094947  24   0.02 iperf3 -s
3094947  25   1.83 iperf3 -s
3094947  26   1.15 iperf3 -s
3094947  27  10.08 iperf3 -s
3094947  38   0.02 iperf3 -s
3094947  39   3.22 iperf3 -s
3094947 sum  27.04 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   1.48 iperf3 -s
3094947   5   0.25 iperf3 -s
3094947   6   1.03 iperf3 -s
3094947   7   2.46 iperf3 -s
3094947  18   1.18 iperf3 -s
3094947  24  10.87 iperf3 -s
3094947  27   0.03 iperf3 -s
3094947  38   1.01 iperf3 -s
3094947  39   9.02 iperf3 -s
3094947 sum  27.33 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   4.90 iperf3 -s
3094947   5   0.77 iperf3 -s
3094947   6  11.48 iperf3 -s
3094947   7   5.56 iperf3 -s
3094947  18   0.12 iperf3 -s
3094947  25   0.01 iperf3 -s
3094947  27   1.97 iperf3 -s
3094947  38   1.75 iperf3 -s
3094947  39   0.56 iperf3 -s
3094947 sum  27.12 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.12 iperf3 -s
3094947   5   5.68 iperf3 -s
3094947   6   2.56 iperf3 -s
3094947   7   2.87 iperf3 -s
3094947  18   0.09 iperf3 -s
3094947  19   0.40 iperf3 -s
3094947  24   1.65 iperf3 -s
3094947  25   0.11 iperf3 -s
3094947  26   0.94 iperf3 -s
3094947  27   0.85 iperf3 -s
3094947  38   0.64 iperf3 -s
3094947  39  10.99 iperf3 -s
3094947 sum  26.90 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   5   0.75 iperf3 -s
3094947   6   3.85 iperf3 -s
3094947   7   6.55 iperf3 -s
3094947  18   2.35 iperf3 -s
3094947  24   4.03 iperf3 -s
3094947  25   5.60 iperf3 -s
3094947  27   0.01 iperf3 -s
3094947  38   0.04 iperf3 -s
3094947  39   3.70 iperf3 -s
3094947 sum  26.88 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   7.46 iperf3 -s
3094947   5   4.14 iperf3 -s
3094947   6   0.13 iperf3 -s
3094947   7   1.16 iperf3 -s
3094947  18   0.43 iperf3 -s
3094947  19   1.93 iperf3 -s
3094947  24   0.02 iperf3 -s
3094947  25   1.38 iperf3 -s
3094947  26   0.65 iperf3 -s
3094947  27   0.88 iperf3 -s
3094947  38   7.12 iperf3 -s
3094947  39   1.85 iperf3 -s
3094947 sum  27.15 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   4.49 iperf3 -s
3094947   7   0.01 iperf3 -s
3094947  19   0.33 iperf3 -s
3094947  24   1.86 iperf3 -s
3094947  25   4.74 iperf3 -s
3094947  38  13.83 iperf3 -s
3094947  39   1.58 iperf3 -s
3094947 sum  26.84 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   7.64 iperf3 -s
3094947   5   4.32 iperf3 -s
3094947   6   5.59 iperf3 -s
3094947   7   1.67 iperf3 -s
3094947  18   0.01 iperf3 -s
3094947  19   0.00 iperf3 -s
3094947  24   3.60 iperf3 -s
3094947  25   0.59 iperf3 -s
3094947  26   0.26 iperf3 -s
3094947  27   0.93 iperf3 -s
3094947  38   0.03 iperf3 -s
3094947  39   2.41 iperf3 -s
3094947 sum  27.05 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.05 iperf3 -s
3094947   6   2.45 iperf3 -s
3094947   7   1.73 iperf3 -s
3094947  18   5.57 iperf3 -s
