Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
900952  18   3.75 iperf3 -s
900952  19   0.62 iperf3 -s
900952  24   0.58 iperf3 -s
900952  25   1.14 iperf3 -s
900952  26   0.27 iperf3 -s
900952  27   9.90 iperf3 -s
900952  38   0.33 iperf3 -s
900952  39   8.37 iperf3 -s
900952 sum  26.24 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   1.63 iperf3 -s
900952   6   7.24 iperf3 -s
900952   7   0.58 iperf3 -s
900952  18   2.90 iperf3 -s
900952  24   3.10 iperf3 -s
900952  27   0.51 iperf3 -s
900952  38   2.56 iperf3 -s
900952  39  10.83 iperf3 -s
900952 sum  29.35 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   6.94 iperf3 -s
900952   5   0.55 iperf3 -s
900952   6   6.08 iperf3 -s
900952   7   0.39 iperf3 -s
900952  18   6.01 iperf3 -s
900952  19   1.24 iperf3 -s
900952  27   5.11 iperf3 -s
900952  38   2.59 iperf3 -s
900952 sum  28.91 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   1.10 iperf3 -s
900952   5   0.57 iperf3 -s
900952   7   0.57 iperf3 -s
900952  18   5.52 iperf3 -s
900952  19   9.67 iperf3 -s
900952  24   1.32 iperf3 -s
900952  25   5.82 iperf3 -s
900952  38   1.27 iperf3 -s
900952  39   0.38 iperf3 -s
900952 sum  26.22 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4  16.84 iperf3 -s
900952  24   4.18 iperf3 -s
900952  25   0.28 iperf3 -s
900952  26   2.49 iperf3 -s
900952  38   0.07 iperf3 -s
900952  39   1.93 iperf3 -s
900952 sum  25.79 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4  16.67 iperf3 -s
900952   5   0.01 iperf3 -s
900952   6   3.58 iperf3 -s
900952  19   1.18 iperf3 -s
900952  24   0.16 iperf3 -s
900952  26   4.22 iperf3 -s
900952  38   0.46 iperf3 -s
900952  39   1.01 iperf3 -s
900952 sum  27.29 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   5.32 iperf3 -s
900952   5   8.80 iperf3 -s
900952   6   4.41 iperf3 -s
900952   7   5.60 iperf3 -s
900952  18   1.86 iperf3 -s
900952  19   0.74 iperf3 -s
900952  24   0.32 iperf3 -s
900952  25   0.08 iperf3 -s
900952  26   0.02 iperf3 -s
900952  27   1.12 iperf3 -s
900952 sum  28.27 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.06 iperf3 -s
900952   5   1.14 iperf3 -s
900952   6   0.75 iperf3 -s
900952   7   0.60 iperf3 -s
900952  19   1.13 iperf3 -s
900952  24  13.80 iperf3 -s
900952  25   4.74 iperf3 -s
900952  26   1.44 iperf3 -s
900952  38   3.42 iperf3 -s
900952 sum  27.08 iperf3 -s
   PID CPU    PCT CMDLINE
900952  24   7.11 iperf3 -s
900952  25  18.91 iperf3 -s
